open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2026-05-09 13:20:00,80384.0,80384.01,80350.0,80355.16,14.31352,2026-05-09 13:24:59.999,1150233.15772140,2319,7.08850000,569594.59955700,0
2026-05-09 13:25:00,80355.15,80393.75,80346.48,80346.48,50.6511,2026-05-09 13:29:59.999,4070880.61850770,3844,17.49053000,1405805.24622100,0
2026-05-09 13:30:00,80346.48,80371.04,80340.11,80340.12,51.90937,2026-05-09 13:34:59.999,4171373.50986890,3218,18.69169000,1502038.44415570,0
2026-05-09 13:35:00,80340.11,80390.0,80340.11,80373.07,41.24907,2026-05-09 13:39:59.999,3315346.44403750,3156,32.27829000,2594297.48194840,0
2026-05-09 13:40:00,80373.07,80373.07,80318.7,80341.68,39.77649,2026-05-09 13:44:59.999,3195519.98556590,3285,33.28963000,2674281.42360340,0
2026-05-09 13:45:00,80341.69,80363.78,80341.68,80356.87,9.6932,2026-05-09 13:49:59.999,778911.95486080,1863,5.17670000,415955.91658660,0
2026-05-09 13:50:00,80356.86,80362.85,80340.19,80362.84,14.47443,2026-05-09 13:54:59.999,1163034.73027480,2115,10.34637000,831338.56698210,0
2026-05-09 13:55:00,80362.85,80391.18,80362.84,80391.18,22.01639,2026-05-09 13:59:59.999,1769590.59806420,1647,20.95762000,1684493.48313300,0
2026-05-09 14:00:00,80391.18,80397.9,80357.75,80357.75,17.08145,2026-05-09 14:04:59.999,1373077.18024540,3025,3.11051000,250015.38671560,0
2026-05-09 14:05:00,80357.76,80375.58,80357.75,80358.0,8.8699,2026-05-09 14:09:59.999,712848.29303060,1626,4.75030000,381745.59087770,0
2026-05-09 14:10:00,80358.01,80426.9,80358.0,80387.76,23.92448,2026-05-09 14:14:59.999,1923342.54461100,3679,18.75845000,1507972.90994820,0
2026-05-09 14:15:00,80387.75,80387.76,80359.69,80374.59,32.87781,2026-05-09 14:19:59.999,2642600.09664820,2689,21.50710000,1728672.44953320,0
